Razão Social;Nome de Pregão;Código
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;INTELBRAS;INTB
INTER CO INC;INTER CO;INBR
INTER CONSTRUTORA E INCORPORADORA S.A.;INTER SA;INNT
INTER HOLDING FINANCEIRA S.A.;INTER FIN;INHF
INTERCEMENT PARTICIPACOES S.A.;INTERCEMENTP;ITCT
INTERLIGACAO ELETRICA DO MADEIRA S/A;MADEIRA;IELM
INTERLIGACAO ELETRICA IVAI S/A;ELETRICAIVAI;IVAI
INTERLIGACAO ELETRICA SERRA DO JAPI S/A;SERRA;ELSJ
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;IMC S/A;MEAL
INVESTIMENTOS BEMGE S.A.;INVEST BEMGE;FIGE
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;INVEPAR;IVPR
IOCHPE MAXION S.A.;IOCHP-MAXION;MYPK
IP SUL CONCESSIONARIA DE ILUMINACAO PUBLICA S.A.;IP SUL ILUMI;IPIL
IPIRANGA PRODUTOS DE PETROLEO S.A.;IPIRANGAPROD;IPIP
IPIRANGA AGROINDUSTRIAL S.A.;IPIRANGA AGR;IPIA
IRACEMA TRANSMISSORA DE ENERGIA S/A;IRACEMA;IRCT
IRANI PAPEL E EMBALAGEM S.A.;IRANI;RANI
IRB - BRASIL RESSEGUROS S.A.;IRBBRASIL RE;IRBR
IRMÃOS MUFFATO & CIA LTDA.;IRMÃOS MUFFA;IMUF
IRON HOUSE DESENVOLVIMENTO IMOBILIARIO S.A.;IRONHOUSE;IROH
IRTHA EMPREENDIMENTOS IMOBILIARIOS S.A.;IRTHA;IRTH
ISA INVESTIMENTOS E PARTICIPACOES DO BRASIL S.A.;ISAIBRASIL;ISAV
ISH TECH S.A.;ISHTECHSA;ISHT
ISHARES 1-3 YEAR TREASURY BOND ETF;BKR 1 3 YRTR;BSHY
ISHARES 20 YEAR TREASURY BOND ETF;BKR 20YR TRS;BTLT
ISHARES 3-7 YEAR TREASURY BOND ETF;BKR 3 7 YRTR;BIEI
ISHARES 7-10 YEAR TREASURY BOND ETF;BKR 7 10 YRT;BIYT
ISHARES BIOTECHNOLOGY ETF;ICE BIOTECH;BIBB
ISHARES CHINA LARGE-CAP ETF;CHINALARGECA;BFXI
ISHARES CORE DIVIDEND GROWTH ETF;COREDIVGROWT;BGWH
ISHARES CORE HIGH DIVIDEND ETF;BKR CORE HDV;BHDV
ISHARES CORE MSCI EAFE ETF;COREMSCIEAFE;BIEF
ISHARES CORE MSCI EMERGING MARKETS ETF;COREMSCI EMK;BIEM
ISHARES CORE MSCI EUROPE ETF;COREMSCI EUR;BIEU
ISHARES CORE S&P 500 ETF;CORE SP 500;BIVB
ISHARES CORE S&P MID-CAP ETF;CORE MIDCAP;BIJH
ISHARES CORE S&P SMALL-CAP ETF;CORESMALLCAP;BIJR
ISHARES CORE S&P TOTAL US STOCK MARKET ETF;CORE SP TOTA;BITO
ISHARES CORE US REIT ETF;CORE US REIT;BUSR
ISHARES CURRENCY HEDGED MSCI EAFE ETF;CURHEDGEMSCI;BHEF
ISHARES CYBERSECURITY AND TECH ETF;BKR CYBTECH;BIHA
ISHARES ESG AWARE MSCI EAFE ETF;TRTMSCI EAFE;BEGD
ISHARES ESG AWARE MSCI EM ETF;INC ESG AWAR;BEGE
ISHARES ESG AWARE MSCI USA ETF;TRUSTMSCI US;BEGU
ISHARES ESG MSCI USA LEADERS ETF;ESGMSCIUSA L;BSUS
ISHARES EUROPE ETF;EUROPE ETF;BIEV
ISHARES EXPONENTIAL TECHNOLOGIES ETF;EXPON TECHNL;BXTC
ISHARES GENOMICS IMMUNOLOGY AND HEALTHCARE ETF;BKR GENO IMM;BIDN
ISHARES GLOBAL CLEAN ENERGY ETF;BKR GL CLEAN;BICL
ISHARES GLOBAL CONSUMER STAPLES ETF;BKR GB STAMP;BKXI
ISHARES GLOBAL FINANCIALS ETF;BKR GL FIN;BIXG
ISHARES GLOBAL HEALTHCARE ETF;GLOBALHEALTH;BIXJ
ISHARES GLOBAL INFRASTRUCTURE ETF;GLOBAL INFRA;BIGF
ISHARES GLOBAL REIT ETF;GLOBAL REIT;BGRT
ISHARES GLOBAL TECH ETF;GLOBAL TECH;BIXN
ISHARES GOLD TRUST;GOLD TRUST;BIAU
ISHARES IBOXX HIGH YIELD CORPORATE BOND ETF;BKR IBOXX HY;BHYG
ISHARES IBOXX INVESTMENT GRADE CORPORATE BOND ETF;BKR IBOX IGC;BLQD
ISHARES LATIN AMERICA 40 ETF;LATIN AMER40;BILF
ISHARES MORTGAGE REAL ESTATE ETF;BKR MORTGAGE;BMRE
ISHARES MSCI ACWI ETF;MSCI ACWI;BACW
ISHARES MSCI ACWI LOW CARBON TARGET ETF;BKR LOWCARBO;BCRB
ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF;MSCI ASIA JP;BAAX
ISHARES MSCI AUSTRALIA ETF;MSCIAUSTRALI;BEWA
ISHARES MSCI BRAZIL ETF;MSCI BRAZIL;BEWZ
ISHARES MSCI CANADA ETF;MSCI CANADA;BEWC
ISHARES MSCI CHINA A ETF;BKR CHINA A;BCNY
ISHARES MSCI CHINA ETF;MSCI CHINA;BCHI
ISHARES MSCI EAFE ETF;MSCI EAFE;BEFA
ISHARES MSCI EAFE GROWTH ETF;MSCIEAFEGROW;BEFG
ISHARES MSCI EAFE MIN VOL FACTOR ETF;MSCIMINVOL F;BFAV
ISHARES MSCI EAFE SMALL-CAP ETF;BKR MS EAFE;BSCZ
ISHARES MSCI EAFE VALUE ETF;MSCIEAFEVALU;BEFV
ISHARES MSCI EMERGING MARKETS ETF;MSCI EMGMARK;BEEM
ISHARES MSCI EMERGING MARKETS MIN VOL FACTOR ETF;MSCIEMMRKMI;BEMV
ISHARES MSCI EUROPE FINANCIALS ETF;BKR EURP FNC;BEUF
ISHARES MSCI EUROZONE ETF;MSCIEUROZONE;BEZU
ISHARES MSCI FRANCE ETF;MSCI FRANCE;BEWQ
ISHARES MSCI GERMANY ETF;MSCI GERMANY;BEWG
ISHARES MSCI GLOBAL METALS & MINING PRODUCERS ETF;BKR GBMM PRD;BPIC
ISHARES MSCI GLOBAL MIN VOL FACTOR ETF;MSCIGLMIVOLF;BCWV
ISHARES MSCI GLOBAL SUSTAINABLE DEVELOP GOALS ETF;BKR GB SDVGO;BSDG
ISHARES MSCI HONG KONG ETF;MSCIHONGKONG;BEWH
ISHARES MSCI INDIA ETF;MSCI INDIA;BNDA
ISHARES MSCI JAPAN ETF;MSCI JAPAN;BEWJ
ISHARES MSCI MEXICO ETF;MSCI MEXICO;BEWW
ISHARES MSCI RUSSIA ETF;BKR MS RUSS;BERU
ISHARES MSCI SAUDI ARABIA ETF;BKR SAUDARAB;BKSA
ISHARES MSCI SOUTH KOREA ETF;MSCISOUTHKOR;BEWY
ISHARES MSCI SPAIN ETF;MSCI SPAIN;BEWP
ISHARES MSCI SWITZERLAND ETF;MSCI SWITZER;BEWL
ISHARES MSCI TAIWAN ETF;MSCI TAIWAN;BEWT
ISHARES MSCI UNITED KINGDOM ETF;MSCI UK;BEWU
ISHARES MSCI USA ESG SELECT ETF;BKR MS USA S;BUSA
ISHARES MSCI USA MIN VOL FACTOR ETF;MSCI US MVOL;BUSM
ISHARES MSCI USA MOMENTUM FACTOR ETF;MSCIUSAMOM F;BMTU
ISHARES MSCI USA QUALITY FACTOR ETF;MSCIUSQUAL F;BQUA
ISHARES MSCI USA SIZE FACTOR ETF;MSCIUSASIZF;BSIZ
ISHARES MSCI USA VALUE FACTOR ETF;MSCIUSVALUEF;BVLU
ISHARES MSCI WORLD ETF;BKR MS WLD;BURT
ISHARES PREFERRED & INCOME SECURITIES ETF;PREFERINCOME;BPRS
ISHARES RESIDENTIAL MULTISECTOR REAL ESTATE ETF;BKR RESMULTS;BREZ
ISHARES ROBOTICS ARTIFICIAL INTELLIG MULTISECT ETF;BKR ROBT AIM;BIRB
ISHARES RUSSELL 1000 GROWTH ETF;RUSSEL1000GR;BIWF
ISHARES RUSSELL 2000 ETF;RUSSELL 2000;BIWM
ISHARES S&P 100 ETF;BKR SP100;BOEF
ISHARES S&P 500 GROWTH ETF;SP500GROWTH;BIVW
ISHARES S&P 500 VALUE ETF;SP500 VALUE;BIVE
ISHARES S&P SMALL-CAP 600 VALUE ETF;BKR SPSM600V;BIJS
ISHARES SELECT DIVIDEND ETF;SELECT DIVID;BDVY
ISHARES SELF-DRIVING EV AND TECH ETF;BKR SELFDRIV;BIDR
ISHARES SEMICONDUCTOR ETF;BKR SEMICOND;BSOX
ISHARES SHORT TREASURY BOND ETF;BKR SHORT TR;BSHV
ISHARES SILVER TRUST;SILVER TRUST;BSLV
ISHARES U.S. ENERGY ETF;BKR US ENER;BIYE
ISHARES U.S. FINANCIAL SERVICES ETF;USFINANCSERV;BIYG
ISHARES U.S. MEDICAL DEVICES ETF;USMEDICDEVIC;BIHI
ISHARES US AEROSPACE & DEFENSE ETF;US AEROSPACE;BAER
ISHARES US CONSUMER DISCRETIONARY ETF;BKR CODISCRT;BIYC
ISHARES US CONSUMER STAPLES ETF;BKR COSTAPLE;BIYK
ISHARES US FINANCIALS ETF;US FINANCIAL;BIYF
ISHARES US INFRASTRUCTURE ETF;BKR US INFRA;BIFR
ISHARES US TECHNOLOGY ETF;US TECHNOLOG;BIYW
ISHARES US TREASURY BOND ETF;BKR US TREAS;BGOV
ISHARES US UTILITIES ETF;BKR US UTILT;BUTL
ISOLUX ENERGIA E PARTICIPACOES S/A;ISOLUXPART;ISLU
ITAMARACA TRANSMISSORA SPE S.A;ITAMARACATRA;IMRC
ITAPEBI GERACAO DE ENERGIA S.A.;ITAPEBI;ITPB
ITAPOÁ PARTICIPAÇÕES S.A.;ITAPOAPARTI;IPTO
ITAPOA TERMINAIS PORTUARIOS S.A.;ITAPOA;ITPO
ITAPUA PARTICIPACOES LTDA;ITAPUA PART;IPLT
ITAREMA GERACAO DE ENERGIA S.A.;ITAREMAENERG;ITMG
ITAU UNIBANCO HOLDING S.A.;ITAUUNIBANCO;ITUB
ITAUSA S.A.;ITAUSA;ITSA
ITR COMERCIO DE PNEUS E PECAS S.A.;ITRCOMERCIOD;PNEU
J A SAUDE ANIMAL INDUSTRIA COMERCIO PRODUTOS VETER;JASAUDE ANIM;JASD
J. MACEDO S.A.;J.MACEDO;JMCD
J. MALUCELLI ENERGIA S/A;JMALUC;JMEN
JALLES MACHADO S.A.;JALLESMACHAD;JALL
JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A.;JANAUBA;JTEE
JAURU TRANSMISSORA DE ENERGIA S/A;JAURUENERGIA;JAUR
JBS S.A.;JBS;JBSS
JCPM PARTICIPACOES E EMPREENDIMENTOS S/A;JCPMPARTICIP;JCPM
JEF INVESTIMENTOS S.A.;JEFINVEST;JEFP
JFL V HOUSE INVESTIMENTOS IMOBILIARIOS S. A.;JFLVHOUSE;JFLV
JHSF MANAUS EMPREENDIMENTOS E INCORPORACOES S.A.;JHSFMANAUS;JHMN
JHSF PARTICIPACOES S.A.;JHSF PART;JHSF
JIVE INVESTMENTS CONSULTORIA S.A.;JIVE INVEST;JICS
JOAO FORTES ENGENHARIA S.A.;JOAO FORTES;JFEN
JOHN DEERE DTVM LTDA;JOHN DEERE;INTN
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;JOSAPAR;JOPA
JOTA ELE CONSTRUCOES CIVIS S.A.;JOTAELE;JELE
JPMORGAN CHASE BANK NATIONAL ASSOCIATION;MORGANBC;JPCB
JSL ARRENDAMENTO MERCANTIL S/A;JSLAM;BGNL
JSL S.A.;JSL;JSLG
JURUENA PARTICIPACOES E INVESTIMENTOS S/A;JURUENA PART;JURU
KALLAS INCORPORACOES E CONSTRUCOES S.A.;KALLAS;KLAS
KARSTEN S.A.;KARSTEN;CTKA
KATAYAMA ALIMENTOS LTDA;KATAYAMA;KATA
KATRIUM INDUSTRIAS QUIMICAS S/A;KATRIUM INDU;KATR
KC TEC. SERV. IMOB. DE INTERNET. EMP. E PART. LTDA;KCTECINTERNE;KCTS
KEPLER WEBER S.A.;KEPLER WEBER;KEPL
KING FOOD COMERCIO DE ALIMENTOS S/A;KINGFOOD;KGFC
KIRTON BANK S.A - BANCO MULTIPLO;KIRTONBM;HSBC
KLABIN S.A.;KLABIN S/A;KLBN
KOMPASS COMPANHIA SECURITIZADORA DE CRÉDITOS FINAN;KOMPASS COMP;KOMP
KORA SAÚDE PARTICIPAÇÕES S.A;KORA SAUDE;KRSA
KUHN DO BRASIL S.A. ¿ IMPLEMENTOS AGRICOLAS;KUHN;KUHN
KURUMA VEICULOS S/A;KURUMA;KRMA
LABORATORIO TEUTO BRASILEIRO S.A.;LABTEUTOBR;TUTO
LABORATORIO SABIN DE ANALISES CLINICAS S.A.;LAB SABIN SA;LSBI
LAFARGEHOLCIM BRASIL S.A.;LAFARGEHOLCI;HOLC
LAGO DA PEDRA PARTICIPACOES S/A;LAGOPEDRAPAR;LGOP
LAGOA 1 ENERGIA RENOVAVEL S.A.;LAGOA1;LGER
LAJEADO ENERGIA S.A.;LAJEADOENERG;LJDE
LAMBDA ENERGIA S.A..;LAMBDAENERG;LMBE
LAMBDA II ENERGIA S/A;LAMBDA II;LBDA
LARGO DA CARIOCA PARTICIPACOES S.A.;LARGODACARIO;LRGO
LAVRAS II HOLDING 2 S.A;LAVRASIIHOLD;LHII
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;LAVVI;LAVV
LAZAM – MDS CORRETORA ADMINISTRADORA SEGUROS S.A.;LAZAMMDSCOR;LMDS
LC ENERGIA HOLDING SA;LC ENERGIA H;LCEN
LC INVESTIMENTOS HOLDING S.A..;LC INVESTIME;LCIN
LC-EH PARTICIPACOES E EMPREENDIMENTOS S.A.;LCEHPART;LCEH
LDI DESENVOLVIMENTO IMOBILIARIO S/A;LDI;LIND
LEASEPLAN ARRENDAMENTO MERCANTIL S/A;LEASEPLANAM;LSPL
LEST LINHAS DE ENERGIA DO SERTAO TRANSMISSORA S.A.;LEST LINHAS;LELE
LETS RENT A CAR S/A;LETSRENTACAR;LETS
LFP PARTICIPACOES S/A;LFP PARTICIP;LFPP
LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.;LIFEMED;LMED
LIGHT S.A.;LIGHT S/A;LIGT
LIGHT SERVICOS DE ELETRICIDADE S.A.;LIGHT;LIGH
LIGUE MOVEL S.A.;LIGUEMOVELSA;LMOV
LINEA AMARILLA BRASIL PARTICIPACOES S.A..;LINEA;LNAM
LINHA AMARELA S.A. - LAMSA;AMARELA;LMSA
LINHARES GERACAO S/A;LINHARESSA;LINH
LINHAS DE TAUBATE TRANSMISSORA DE ENERGIA S.A.;TAUBATE;LTTE
LINHAS DE TRANSMISSAO DE MONTES CLAROS S.A.;MONTESCLAROS;LTMC
LITEL PARTICIPACOES S.A.;LITEL;LTEL
LITELA PARTICIPAÇÕES S.A.;LITELA;LTLA
LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A;WDC NETWORKS;LVTC
LOCALFRIO S.A. - ARMAZENS GERAIS FRIGORIFICOS;LOCALFRIO;LCFR
LOCALIZA RENT A CAR S.A.;LOCALIZA;RENT
LOCAR GUINDASTES E TRANSPORTES INTERMODAIS S.A.;LOCAR;LCAR
LOCAWEB SERVIÇOS DE INTERNET S.A.;LOCAWEB;LWSA
LOCON EMPREENDIMENTOS LTDA.;LOCON EMPR;LOCN
LOG COMMERCIAL PROPERTIES;LOG COM PROP;LOGG
LOG E PRINT DADOS VARIAVEIS S.A;LOGEPRINT;LOGP
LOG E PRINT GRAFICA E LOGISTICA S/A;LOGPRINT;LOGR
LOG ENERGIA COMERCIALIZADORA S.A.;LOG ENERGIA;LGCM
LOGBRAS SALVADOR EMPREENDIMENTOS IMOBILIARIOS S/A;LOGBRAS;VAND
LOG-IN LOGISTICA INTERMODAL S.A.;LOG-IN;LOGN
LOGISTICA AMBIENTAL DE SAO PAULO S/A - LOGA;LOGA;LGAM
LOJAS LE BISCUIT S.A.;LE BISCUIT;LLBI
LOJAS QUERO-QUERO S/A;QUERO-QUERO;LJQQ
LOJAS RENNER S.A.;LOJAS RENNER;LREN
LOJAS RIACHUELO S / A;RIACHUELO;RCHL
LONGFORD PARTICIPACOES E EMPREENDIMENTOS S.A.;LONGFORD;LONG
LPP I EMPREENDIMENTOS E PARTICIPACOES S.A.;LPP I EMPREE;LPPP
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;LOPES BRASIL;LPSB
LSH BARRA EMPREENDIMENTOS IMOBILIARIOS S A;LSHBARRA;LSHB
LUFT PARTICIPACOES S.A.;LUFTPART;LUFP
LUIZACRED S/A SOCIEDADE DE CREDITO FINANCIAMENTO E;LUIZACREDCFI;FMXS
LUMINAE S.A.;LUMINAE S/A;LMNE
LUPATECH S.A.;LUPATECH;LUPA
M.CASSAB COMÉRCIO E INDÚSTRIA LTDA.;M.CASSAB COM;CSSB
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;M.DIASBRANCO;MDIA
M.INVEST PLANEJAMENTO E ADMINISTRACAO DE SHOPPING;MINVEST;MIVS
MADERO INDUSTRIA E COMERCIO S.A.;MADERO IND;MDRO
MADRI ADMINISTRACAO INTERMEDIACAO E PARTICIPACAO S;MADRIPART;MDRI
MAESTRO LOCADORA DE VEICULOS S.A.;MAESTROLOC;MSRO
MAGAZINE LUIZA S.A.;MAGAZ LUIZA;MGLU
MAGNUM TIRES DISTRIBUIDORA DE PNEUS S/A;MAGNUMTIRESD;MGNU
MAHLE-METAL LEVE S.A.;METAL LEVE;LEVE
MAIA E BORBA S.A.;MAIAEBORBA;MAIB
MAIOJAMA EMPREENDIMENTOS IMOBILIARIOS S.A.;MAIOJAMAEMPR;MJMA
MAIS SHOPPING NITEROI EMPREENDIMENTOS E PARTICIPAC;MAISSHOPPING;NSPE
MAKRO ATACADISTA S/A;MAKROATACADI;MAKR
MANAUS AMBIENTAL S.A.;MANAUSAMBIEN;MNAU
MANAUS HOTEIS E TURISMO S.A.;MANAUS HOTEL;MNHT
MANAUS TRANSMISSORA DE ENERGIA S.A.;MANAUS TRANS;MANT
MANDIC S/A;MANDIC;MNDC
MANGELS INDUSTRIAL S.A.;MANGELS INDL;MGEL
MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.;MANTIQUEIRA;MNTQ
MANUFAT. PRODUTOS ALIMENTACAO ANIMAL PREMIX LTDA;MANUF PREMIX;PRMX
MANUFATURA DE BRINQUEDOS ESTRELA S.A.;ESTRELA;ESTR
MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.;MAQBRASIL;MAQN
MARACANA ENERGETICA S/A;MARACANA S/A;MCEN
MARACANAU GERADORA DE ENERGIA S.A.;MARACANAU;MRCN
MARCOPOLO S.A.;MARCOPOLO;POMO
MARECHAL RONDON TRANSMISSORA DE ENERGIA S.A.;MARECHALRON;MRHL
MARFIM EMPREENDIMENTOS IMOBILIARIOS S/A;MARFIM EMP;CCPM
MARFRIG GLOBAL FOODS S.A.;MARFRIG;MRFG
MARISA LOJAS S.A.;LOJAS MARISA;AMAR
MARISOL VESTUARIO S.A;MARISOL;MVST
MARLIN NAVEGACAO SA;MARLIN;MLNV
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S.A.;MARTINSDIST;MCSD
MATA DE SANTA GENEBRA TRANSMISSAO S.A.;STAGENEBRA;MSGT
MATA VELHA ENERGETICA S.A.;MATAVELHA;MTVL
MATEUS SUPERMERCADOS S.A.;MATEUS;MTSM
MATRINCHA TRANSMISSORA DE ENERGIA TP NORTE S/A;MATRINCHA;TPNO
MB EXPANSAO S.A.;MBEXPANSAO;MBXP
MC BRAZIL GALILEO PARTICIPAÇÕES S.A.;MCBRAZILGALI;MCBG
MDL REALTY INCORPORADORA S.A.;MDLREALTY;MDLL
MEDRAL ENGENHARIA LTDA;MEDRAL ENGEN;MEDR
MÉLIUZ S.A.;MELIUZ;CASH
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;MELNICK;MELK
MENTAL HEALTH PARTICIPACOES S.A.;MENTAL HEALT;MHPA
MERCANTIL BRASIL FINANC S.A. C.F.I.;MERC FINANC;MERC
MERCANTTI EMPREENDIMENTOS IMOBILIARIOS SPE S.A.;MERCANTII;MRCS
MERCATO EXPRESS HOLDING DE PARTICIPACAO LTDA.;MERCATO EXPR;MCEX
MERCEDEZ BENZ LEASING DO BRASIL ARRENDAMENTO MERCA;MERCEDESBENZ;BBVL
METALFRIO SOLUTIONS S.A.;METALFRIO;FRIO
METALGRAFICA IGUACU S.A.;METAL IGUACU;MTIG
METALURGICA GERDAU S.A.;GERDAU MET;GOAU
METALURGICA RIOSULENSE S.A.;RIOSULENSE;RSUL
METISA METALURGICA TIMBOENSE S.A.;METISA;MTSA
METROBARRA S.A.;METROBARRA;MTRB
MEZ 1 ENERGIA LTDA.;MEZ 1 ENERGI;MEZU
MEZ 3 ENERGIA S.A.;MEZ3ENERGIAS;MEZ3
MEZ 4 ENERGIA S.A.;MEZ 4 ENERG;MEZE
MEZ 5 ENERGIA S.A.;MEZ5ENERGIAS;MEZ5
MEZ 6 Energia Ltda.;MEZ6ENERGIAL;MEZ6
MEZ T1 TRANSMISSORA E PARTICIPAÇÕES S.A.;MEZT1TRANSMI;MEZT
MG3 INFRAESTRUTURA E PARTICIPACOES LTDA;MG3 INFRAEST;LYOD
MILANO COMERCIO VAREJISTA DE ALIMENTOS S.A..;MILANOCOMERC;MLAN
MILANO ENERGIA PARTICIPACOES E INVESTIMENTOS S/A;MILANO;MLNP
MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A;MILLS;MILS
MILO INVESTIMENTOS SA;MILOINVEST;MILO
MINAS ARENA - GESTAO DE INSTALACOES ESPORTIVAS S.A;MINASARENA;MNAR
MINASMAQUINAS S.A.;MINASMAQUINA;MMAQ
MINERACAO CARAIBA S.A.;MCARAIBA;MCRB
MINERVA S.A.;MINERVA;BEEF
MINORGAN INDÚSTRIA E COMÉRCIO DE FERTILIZANTES S.A;MINORGAN;MNGN
MINUPAR PARTICIPACOES S.A.;MINUPAR;MNPR
MIRANTE ENERGÉTICA S.A.;MIRANTENERGE;MESA
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;MITRE REALTY;MTRE
MMS PARTICIPACOES S/A;MMSPARTICIPA;MMSP
MMX MINERACAO E METALICOS S.A.;MMX MINER;MMXM
MMX SUDESTE MINERACAO S.A.;MMXSUDESTE;MMXS
MOB PARTICIPACOES S.A.;MOBPARTICIP;MOBP
MOB SERVIÇOS DE TELECOMUNICAÇÕES S.A.;MOB SERVIÇOS;MOBS
Mobly S.A.;MOBLY;MBLY
MODAL PARTICIPACOES LTDA;MODAL PARTIC;MODA
MONTE PASCOAL HOLDING S.A.;MONTEPASCOAL;MOPA
MONTE RODOVIAS HOLDING E PARTICIPAÇÕES SOCIETÁRIAS;MONTE RODOVI;MRHP
MONTEIRO ARANHA S.A.;MONT ARANHA;MOAR
MONTREAL EMPREENDIMENTOS IMOBILIARIOS S.A.;MONTREAL;MORL
MORI ENERGIA HOLDING S/A;MORI ENERGIA;MORI
MOROCO PARTICIPACOES E COMERCIO S.A.;MOROCO;MRPT
MORRINHOS ENERGIAS RENOVAVEIS S/A;MORRINHOS;MORR
MORUMBI DO BRASIL PROJETOS IMOBILIARIOS S/A;MORUMBI BR;MBBR
MOURA DUBEUX ENGENHARIA S/A;MOURA DUBEUX;MDNE
MOVIDA GESTAO E TERCEIRIZACAO DE FROTAS S/A;MOVIDAGEST;JSLO
MOVIDA LOCACAO DE VEICULOS S.A.;MOVIDALOC;MVLV
MOVIDA PARTICIPACOES SA;MOVIDA;MOVI
MPD INVESTIMENTOS IMOBILIARIOS LTDA;MPD INV IMOB;MPII
MPM CORPÓREOS S.A.;ESPACOLASER;ESPA
MRL ENGENHARIA E EMPREENDIMENTOS S.A.;MRLENGENHARI;MRLE
MRS LOGISTICA S.A.;MRS LOGIST;MRSA
MRV ENGENHARIA E PARTICIPACOES S.A.;MRV;MRVE
MS PARTICIPACOES SOCIETARIAS S.A;MSPARTICIPAC;MSPS
MTEL TECNOLOGIA SA;MTELTECSA;MTEC
MUDAR SPE MASTER EMPREENDIMENTOS IMOBILIARIOS S/A;MUDARSPESA;MUDA
MULTIHEMO SERVICOS MEDICOS S/A;MULTIHEMO;MHSM
MULTILASER INDUSTRIAL S.A.;MULTILASER;MLAS
MULTILOG S.A.;MULTILOG;MLOG
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;MULTIPLAN;MULT
MULTITERMINAIS S.A.;MULTITERMINA;MTTM
MUNDIAL S.A. - PRODUTOS DE CONSUMO;MUNDIAL;MNDL
MV PARTICIPACOES S.A.;MVPARTICIPAC;MVSA
N. ZEPPONE S.A.;NZEPPONESA;ZEPP
N.O.L.S.P.E. EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;N.O.L.S.P.E.;NLSP
NAMPONT HOLDINGS S.A.;NAMPONT;NMHG
NASCENTES DO XINGU PARTICIPACOES E ADMINISTRACAO S;XINGUPART;NASX
NATIXIS BRASIL S/A BANCO MULTIPLO;NATIXISBM;NATX
NATURA &CO HOLDING S.A.;GRUPO NATURA;NTCO
NATURA COSMETICOS S.A.;NATURA;NATU
NATURAL ONE S/A;NATURALONE;NTON
NC ENERGIA S.A.;NCENERGIA;NCEN
NEERANS EMPREENDIMENTOS E PARTICIPACOES S/A;NEERANS;NEER
NEGRESCO S/A CREDITO FINANCIAMENTO E INVESTIMENTO;NEGRESCOCFI;NGSC
Neoenergia Distribuicao Brasilia S.A;NEOENERGIADI;CEBD
NEOENERGIA ITABAPOANA TRANSMISSAO DE ENERGIA S/A;NEOENERGIA I;NITA
NEOENERGIA S.A.;NEOENERGIA;NEOE
NEOGRID PARTICIPACOES S.A.;NEOGRID;NGRD
NEXPE PARTICIPAÇÕES S.A;NEXPE;NEXP
NG20 EMPREENDIMENTOS IMOBILIARIOS S/A;NG20 EMPREEN;NGEI
NORDON INDUSTRIAS METALURGICAS S.A.;NORDON MET;NORD
NORSA REFRIGERANTES S.A.;NORSAREFRISA;NRSA
NORTE ASSET MANAGEMENT GESTÃO DE RECURSOS S.A.;NORTE ASSET;NAMG
NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;NORTEBR;NRTB
NORTE ENERGIA S/A;NORTEENERGIA;NTEN
NORTEC QUÍMICA S.A.;NORTCQUIMICA;NRTQ
NOTRE DAME INTERMEDICA SAUDE S/A;NOTREDAME;NDMI
NOVA INFRAESTRUTURA GASODUTOS PARTICIPAÇÕES S.A.;NOVA INFRAES;NIGP
NOVA PONTOCOM COMERCIO ELETRONICO SA;PONTOCOM;NVPC
NOVA TRANSPORTADORA DO SUDESTE S.A. ¿ NTS;NOVANTS;NTSD
NOVA VENTO FORMOSO ENERGIAS RENOVAVEIS S.A.;VENTOFORMOSO;NVFE
NOVA VENTOS DE TIANGUA ENERGIAS RENOVAVEIS S.A;NVTIANGUA;NVTE
NOVA VENTOS DE TIANGUA NORTE ENERGIAS RENOVAVEIS S;TIANGUANORTE;NVTN
NOVA VENTOS DO MORRO DO CHAPEU ENERGIAS RENOVAVEIS;CHAPEUENERGI;NVMC
NOVA VENTOS DO PARAZINHO ENERGIAS RENOVAVEIS S.A;NOVAVENTOS;NVPE
NOVO BANCO CONTINENTAL S.A. BANCO MULTIPLO;NBCBM;NBCB
NOVO HORIZONTE PARTICIPAÇÕES S.A.;NOVOHORIZONT;NVHZ
NS2.COM INTERNET S/A;NS2;NSDI
NU FINANCEIRA SA SOCIEDADE DE CRED FINANC E INVEST;NUBANK;NUFN
